ID,TITLE,TAG1,TAG2,TAG3,TAG4
67,ゴーストバスターズ,ユーモラス,ハートウォーミング,,
68,雨に唄えば,ユーモラス,ハートウォーミング,,
69,ライオン・キング,ハートウォーミング,悲劇的な,,
70,ホットファズ俺たちスーパーポリスメン！,ユーモラス,エキサイティング,,
71,裏窓,ハラハラする,魅惑的な,,
72,7人の侍,壮大な,エキサイティング,,
73,マルホランド・ドライブ,幻想的な,魅惑的な,,
74,ファーゴ,ユーモラス,衝撃的な,,
75,時計じかけのオレンジ,衝撃的な,カタルシスのある,,
76,トイ・ストーリー,ハートウォーミング,ユーモラス,,
77,オールド・ボーイ,悲劇的な,衝撃的な,,
78,キャプテン・アメリカシビル・ウォー,エキサイティング,ユーモラス,,
79,千と千尋の神隠し,幻想的な,魅惑的な,,
80,ソーシャル・ネットワーク,ユーモラス,悲劇的な,,
81,お熱いのがお好き,ユーモラス,ハートウォーミング,,
82,トゥルー・ロマンス,情熱的な,エキサイティング,,
83,ロッキー,ハラハラする,情熱的な,,
84,レオン,エキサイティング,情熱的な,,
85,インディ・ジョーンズ最後の聖戦,壮大な,エキサイティング,,
86,プレデター,エキサイティング,ハラハラする,,
87,エクソシスト,衝撃的な,ハラハラする,,
88,ショーン・オブ・ザ・デッド,ユーモラス,エキサイティング,,
89,ノーカントリー,衝撃的な,悲劇的な,,
90,プレステージ,魅惑的な,衝撃的な,,
91,ターミネーター,エキサイティング,ハラハラする,,
92,プリンセス・ブライド・ストーリー,ハートウォーミング,ユーモラス,,
93,ロスト・イン・トランスレーション,魅惑的な,ハートウォーミング,,
94,メッセージ,魅惑的な,感動的な,,
95,グッド・ウィル・ハンティング,感動的な,悲劇的な,,
96,タイタニック,悲劇的な,感動的な,,
97,アメリ,ユーモラス,ハートウォーミング,,
98,レイジング・ブル,エキサイティング,悲劇的な,,
99,スタンド・バイ・ミー,ハートウォーミング,ユーモラス,,
