TITLE,エキサイティング,ハートウォーミング,壮大な,悲劇的な,情熱的な,衝撃的な,魅惑的な,ファンタジー/SF系,リアル系
マルホランド・ドライブ,0,0,0,0,0,0,1,0,1
ファーゴ,0,0,0,0,0,1,0,0,1
時計じかけのオレンジ,0,0,0,0,0,1,0,0,1
トイ・ストーリー,0,1,0,0,0,0,0,1,0
オールド・ボーイ,0,0,0,1,0,1,0,0,1
キャプテン・アメリカシビル・ウォー,1,0,0,0,0,0,0,1,0
千と千尋の神隠し,0,0,0,0,0,0,1,1,0
ソーシャル・ネットワーク,0,0,0,1,0,0,0,0,1
お熱いのがお好き,0,1,0,0,0,0,0,0,1
トゥルー・ロマンス,1,0,0,0,1,0,0,0,1
ロッキー,0,0,0,0,1,0,0,0,1
レオン,1,0,0,0,1,0,0,0,1
インディ・ジョーンズ最後の聖戦,1,0,1,0,0,0,0,1,0
プレデター,1,0,0,0,0,0,0,1,0
エクソシスト,0,0,0,0,0,1,0,1,0
ショーン・オブ・ザ・デッド,1,0,0,0,0,0,0,1,0
ノーカントリー,0,0,0,1,0,1,0,0,1
プレステージ,0,0,0,0,0,1,1,1,0
ターミネーター,1,0,0,0,0,0,0,1,0
プリンセス・ブライド・ストーリー,0,1,0,0,0,0,0,1,0
ロスト・イン・トランスレーション,0,1,0,0,0,0,1,0,1
メッセージ,0,0,0,0,0,0,1,1,0
グッド・ウィル・ハンティング,0,0,0,1,0,0,0,0,1
タイタニック,0,0,0,1,0,0,0,0,1
アメリ,0,1,0,0,0,0,0,0,1
レイジング・ブル,1,0,0,1,0,0,0,0,1
スタンド・バイ・ミー,0,1,0,0,0,0,0,0,1
